Time	Well101	Well102	Well103	Well104	Well105	Well106	Well107	Well108	Well109	Well110	Well111	Well112	Well113	Well114	Well115	BLANK
0:00:04	0.294	0.303	0.286	0.197	0.2	0.208	0.295	0.301	0.282	0.261	0.261	0.249	0.249	0.226	0.239	0.163
0:30:05	0.247	0.252	0.238	0.182	0.191	0.196	0.248	0.256	0.244	0.242	0.238	0.237	0.234	0.22	0.225	0.156
1:00:05	0.245	0.25	0.238	0.186	0.19	0.196	0.246	0.254	0.244	0.24	0.238	0.238	0.231	0.222	0.226	0.158
1:30:05	0.243	0.25	0.237	0.186	0.19	0.195	0.248	0.255	0.244	0.239	0.238	0.237	0.231	0.222	0.226	0.159
2:00:05	0.244	0.249	0.237	0.186	0.189	0.195	0.25	0.256	0.246	0.24	0.238	0.236	0.232	0.223	0.226	0.159
2:30:05	0.245	0.25	0.235	0.186	0.189	0.194	0.25	0.257	0.246	0.242	0.238	0.238	0.233	0.224	0.227	0.159
3:00:06	0.246	0.249	0.237	0.187	0.189	0.194	0.253	0.259	0.249	0.242	0.239	0.239	0.234	0.226	0.228	0.159
3:30:06	0.245	0.25	0.237	0.187	0.189	0.194	0.254	0.261	0.251	0.243	0.239	0.239	0.236	0.227	0.231	0.159
4:00:06	0.245	0.249	0.236	0.187	0.189	0.194	0.258	0.265	0.254	0.241	0.239	0.237	0.238	0.228	0.232	0.159
4:30:06	0.247	0.253	0.236	0.187	0.19	0.194	0.261	0.27	0.259	0.241	0.238	0.238	0.241	0.23	0.236	0.159
5:00:06	0.248	0.254	0.238	0.188	0.189	0.194	0.267	0.275	0.265	0.241	0.239	0.238	0.246	0.236	0.241	0.16
5:30:06	0.251	0.255	0.238	0.187	0.189	0.194	0.277	0.285	0.273	0.243	0.241	0.239	0.253	0.241	0.248	0.159
6:00:06	0.252	0.258	0.237	0.187	0.189	0.194	0.286	0.295	0.284	0.245	0.242	0.24	0.264	0.249	0.256	0.159
6:30:06	0.256	0.261	0.237	0.187	0.189	0.194	0.301	0.31	0.298	0.245	0.244	0.242	0.275	0.259	0.27	0.159
7:00:06	0.261	0.269	0.242	0.188	0.193	0.197	0.32	0.331	0.319	0.25	0.249	0.246	0.293	0.277	0.289	0.161
7:30:06	0.265	0.273	0.24	0.187	0.189	0.195	0.346	0.357	0.345	0.251	0.25	0.247	0.315	0.29	0.31	0.16
8:00:06	0.274	0.28	0.239	0.186	0.189	0.194	0.382	0.393	0.382	0.256	0.256	0.251	0.345	0.321	0.34	0.16
8:30:06	0.285	0.294	0.24	0.187	0.192	0.193	0.425	0.439	0.428	0.262	0.262	0.257	0.385	0.354	0.38	0.16
9:00:07	0.3	0.307	0.242	0.186	0.192	0.193	0.482	0.499	0.486	0.27	0.271	0.264	0.436	0.398	0.432	0.16
9:30:07	0.32	0.329	0.244	0.187	0.192	0.194	0.556	0.573	0.558	0.279	0.282	0.274	0.5	0.456	0.495	0.16
10:00:06	0.346	0.356	0.247	0.186	0.193	0.193	0.643	0.662	0.648	0.295	0.298	0.287	0.577	0.527	0.574	0.16
10:30:06	0.379	0.394	0.251	0.187	0.193	0.193	0.743	0.763	0.75	0.313	0.319	0.303	0.668	0.609	0.668	0.16
11:00:06	0.426	0.444	0.256	0.186	0.193	0.193	0.848	0.87	0.859	0.338	0.346	0.325	0.766	0.708	0.764	0.16
11:30:06	0.484	0.505	0.263	0.187	0.193	0.194	0.968	0.987	0.974	0.366	0.378	0.353	0.867	0.807	0.871	0.16
12:00:06	0.555	0.58	0.274	0.187	0.194	0.194	1.084	1.106	1.092	0.406	0.424	0.389	0.978	0.916	0.983	0.16
12:30:06	0.645	0.674	0.289	0.188	0.195	0.198	1.193	1.211	1.201	0.459	0.478	0.436	1.088	1.028	1.098	0.161
13:00:05	0.737	0.774	0.305	0.188	0.195	0.195	1.274	1.28	1.28	0.518	0.548	0.492	1.195	1.139	1.201	0.16
13:30:06	0.846	0.887	0.329	0.189	0.196	0.199	1.288	1.29	1.292	0.598	0.632	0.566	1.249	1.229	1.229	0.161
14:00:06	0.961	1.002	0.359	0.188	0.196	0.198	1.3	1.302	1.302	0.688	0.727	0.65	1.25	1.236	1.231	0.16
14:30:06	1.076	1.118	0.399	0.189	0.197	0.199	1.31	1.314	1.314	0.793	0.836	0.749	1.25	1.237	1.229	0.161
15:00:06	1.177	1.209	0.451	0.191	0.198	0.2	1.322	1.326	1.324	0.904	0.952	0.859	1.252	1.237	1.229	0.161
15:30:06	1.215	1.223	0.515	0.191	0.199	0.201	1.334	1.34	1.338	1.02	1.07	0.974	1.252	1.236	1.229	0.161
16:00:06	1.221	1.231	0.597	0.193	0.201	0.202	1.354	1.357	1.355	1.139	1.187	1.092	1.254	1.238	1.229	0.161
16:30:05	1.233	1.242	0.692	0.194	0.203	0.204	1.374	1.375	1.373	1.249	1.29	1.207	1.256	1.24	1.234	0.161
17:00:06	1.245	1.256	0.793	0.196	0.206	0.206	1.393	1.399	1.395	1.336	1.346	1.306	1.26	1.244	1.235	0.161
17:30:06	1.254	1.268	0.903	0.2	0.209	0.208	1.419	1.423	1.419	1.365	1.358	1.351	1.264	1.246	1.239	0.161
18:00:05	1.27	1.282	1.014	0.203	0.213	0.211	1.443	1.447	1.441	1.377	1.371	1.363	1.27	1.25	1.244	0.161
18:30:05	1.284	1.302	1.127	0.208	0.219	0.215	1.465	1.47	1.467	1.389	1.381	1.377	1.276	1.254	1.248	0.161
19:00:05	1.302	1.318	1.203	0.213	0.225	0.219	1.487	1.49	1.486	1.399	1.393	1.385	1.284	1.26	1.254	0.161
19:30:05	1.322	1.34	1.213	0.22	0.234	0.226	1.51	1.514	1.508	1.415	1.411	1.399	1.292	1.268	1.262	0.161
20:00:05	1.343	1.358	1.217	0.229	0.244	0.233	1.528	1.534	1.53	1.435	1.433	1.419	1.304	1.276	1.272	0.161
20:30:05	1.358	1.379	1.227	0.241	0.258	0.24	1.55	1.552	1.55	1.457	1.455	1.439	1.314	1.29	1.28	0.161
21:00:06	1.375	1.395	1.233	0.255	0.273	0.252	1.572	1.573	1.569	1.482	1.479	1.463	1.326	1.3	1.294	0.161
21:30:07	1.395	1.415	1.244	0.274	0.294	0.267	1.589	1.592	1.587	1.506	1.504	1.486	1.338	1.312	1.304	0.161
22:00:07	1.411	1.431	1.254	0.295	0.318	0.282	1.606	1.611	1.605	1.528	1.524	1.51	1.35	1.322	1.314	0.161
22:30:06	1.425	1.445	1.268	0.324	0.349	0.304	1.621	1.624	1.621	1.548	1.546	1.53	1.363	1.334	1.326	0.161
23:00:06	1.439	1.459	1.282	0.359	0.389	0.33	1.635	1.641	1.635	1.57	1.567	1.548	1.375	1.347	1.336	0.162
23:30:06	1.457	1.479	1.298	0.399	0.435	0.361	1.653	1.659	1.653	1.593	1.587	1.573	1.391	1.362	1.351	0.162
