Time	Well101	Well102	Well103	Well104	Well105	Well106	Well107	Well108	Well109	Well110	Well111	Well112	Well113	Well114	Well115	BLANK
0:00:04	0.279	0.285	0.313	0.214	0.219	0.221	0.281	0.291	0.289	0.254	0.243	0.262	0.264	0.273	0.26	0.169
0:30:05	0.248	0.243	0.251	0.196	0.203	0.205	0.247	0.252	0.251	0.238	0.24	0.243	0.234	0.24	0.224	0.161
1:00:05	0.245	0.241	0.249	0.197	0.202	0.205	0.248	0.251	0.252	0.24	0.24	0.243	0.232	0.239	0.222	0.161
1:30:05	0.246	0.244	0.248	0.198	0.2	0.202	0.249	0.251	0.251	0.241	0.242	0.244	0.234	0.242	0.223	0.163
2:00:05	0.245	0.243	0.249	0.198	0.201	0.203	0.25	0.253	0.252	0.242	0.242	0.245	0.237	0.244	0.225	0.163
2:30:05	0.248	0.245	0.249	0.2	0.202	0.206	0.252	0.255	0.254	0.245	0.245	0.248	0.238	0.248	0.229	0.164
3:00:06	0.247	0.242	0.247	0.198	0.199	0.201	0.254	0.255	0.257	0.242	0.243	0.244	0.24	0.248	0.228	0.16
3:30:06	0.25	0.246	0.249	0.198	0.2	0.204	0.258	0.258	0.26	0.243	0.244	0.245	0.244	0.252	0.234	0.162
4:00:06	0.252	0.247	0.249	0.199	0.201	0.204	0.264	0.264	0.266	0.244	0.245	0.247	0.25	0.257	0.239	0.162
4:30:06	0.256	0.247	0.249	0.198	0.2	0.203	0.27	0.27	0.271	0.245	0.246	0.248	0.257	0.266	0.248	0.162
5:00:06	0.259	0.247	0.249	0.198	0.2	0.203	0.279	0.278	0.282	0.247	0.248	0.25	0.268	0.276	0.259	0.161
5:30:06	0.266	0.251	0.249	0.199	0.201	0.204	0.291	0.291	0.296	0.252	0.253	0.253	0.283	0.292	0.275	0.163
6:00:06	0.274	0.255	0.25	0.199	0.201	0.203	0.309	0.307	0.311	0.255	0.256	0.257	0.303	0.313	0.297	0.163
6:30:06	0.287	0.258	0.25	0.198	0.204	0.204	0.332	0.331	0.335	0.26	0.262	0.263	0.331	0.341	0.323	0.163
7:00:06	0.3	0.263	0.25	0.197	0.202	0.202	0.361	0.359	0.366	0.265	0.269	0.27	0.365	0.379	0.36	0.16
7:30:06	0.324	0.277	0.252	0.198	0.204	0.203	0.403	0.4	0.408	0.275	0.28	0.278	0.413	0.427	0.409	0.162
8:00:06	0.352	0.284	0.253	0.198	0.204	0.204	0.454	0.445	0.461	0.286	0.293	0.292	0.469	0.487	0.467	0.163
8:30:06	0.389	0.296	0.255	0.197	0.203	0.203	0.519	0.508	0.531	0.303	0.311	0.307	0.543	0.563	0.542	0.162
9:00:07	0.444	0.317	0.257	0.198	0.204	0.204	0.6	0.589	0.612	0.325	0.335	0.331	0.631	0.653	0.634	0.162
9:30:07	0.507	0.346	0.261	0.198	0.204	0.206	0.696	0.683	0.713	0.353	0.367	0.359	0.728	0.751	0.732	0.163
10:00:06	0.585	0.41	0.267	0.198	0.205	0.206	0.802	0.787	0.818	0.388	0.407	0.397	0.827	0.855	0.837	0.163
10:30:06	0.681	0.429	0.272	0.198	0.205	0.206	0.915	0.9	0.934	0.436	0.458	0.444	0.938	0.966	0.948	0.162
11:00:06	0.781	0.486	0.281	0.198	0.206	0.207	1.034	1.018	1.052	0.492	0.524	0.503	1.052	1.078	1.062	0.163
11:30:06	0.893	0.561	0.292	0.198	0.205	0.207	1.149	1.133	1.167	0.563	0.602	0.575	1.163	1.187	1.171	0.162
12:00:06	1.012	0.655	0.308	0.199	0.207	0.208	1.252	1.243	1.262	0.651	0.697	0.664	1.254	1.262	1.237	0.163
12:30:06	1.123	0.753	0.327	0.198	0.205	0.207	1.29	1.292	1.292	0.753	0.802	0.768	1.262	1.264	1.248	0.161
13:00:05	1.199	0.868	0.358	0.2	0.208	0.209	1.298	1.3	1.3	0.862	0.916	0.877	1.262	1.264	1.236	0.163
13:30:06	1.211	0.985	0.394	0.201	0.209	0.209	1.308	1.312	1.312	0.979	1.036	0.995	1.262	1.264	1.237	0.163
14:00:06	1.225	1.106	0.442	0.203	0.21	0.211	1.32	1.322	1.322	1.102	1.157	1.118	1.262	1.262	1.234	0.163
14:30:06	1.235	1.199	0.502	0.204	0.212	0.212	1.332	1.332	1.334	1.217	1.266	1.229	1.262	1.264	1.235	0.163
15:00:06	1.247	1.225	0.575	0.206	0.214	0.213	1.347	1.348	1.351	1.318	1.35	1.324	1.262	1.264	1.237	0.163
15:30:06	1.264	1.236	0.667	0.208	0.216	0.215	1.364	1.365	1.368	1.373	1.37	1.372	1.266	1.266	1.239	0.163
16:00:06	1.28	1.25	0.768	0.212	0.219	0.217	1.385	1.383	1.387	1.387	1.383	1.385	1.27	1.268	1.24	0.163
16:30:05	1.304	1.262	0.873	0.215	0.223	0.219	1.407	1.407	1.411	1.399	1.395	1.399	1.272	1.272	1.241	0.163
17:00:06	1.324	1.276	0.984	0.22	0.228	0.223	1.429	1.429	1.433	1.411	1.407	1.409	1.278	1.276	1.245	0.163
17:30:06	1.343	1.296	1.096	0.225	0.234	0.227	1.453	1.451	1.455	1.427	1.423	1.427	1.282	1.28	1.247	0.163
18:00:05	1.368	1.318	1.197	0.233	0.24	0.231	1.478	1.477	1.479	1.447	1.445	1.445	1.292	1.288	1.252	0.162
18:30:05	1.385	1.334	1.225	0.242	0.249	0.237	1.502	1.499	1.502	1.468	1.468	1.469	1.298	1.296	1.258	0.162
19:00:05	1.407	1.359	1.235	0.255	0.264	0.249	1.522	1.52	1.522	1.491	1.491	1.493	1.308	1.304	1.264	0.163
19:30:05	1.423	1.381	1.245	0.27	0.281	0.259	1.542	1.542	1.542	1.516	1.516	1.518	1.318	1.314	1.272	0.164
20:00:05	1.439	1.405	1.256	0.289	0.3	0.271	1.562	1.563	1.564	1.542	1.54	1.542	1.33	1.324	1.28	0.163
20:30:05	1.457	1.423	1.266	0.312	0.32	0.286	1.583	1.582	1.584	1.562	1.563	1.564	1.342	1.336	1.286	0.162
21:00:06	1.473	1.445	1.28	0.342	0.354	0.309	1.6	1.599	1.601	1.586	1.584	1.587	1.353	1.347	1.298	0.163
21:30:07	1.488	1.461	1.3	0.379	0.392	0.335	1.619	1.62	1.619	1.609	1.605	1.608	1.367	1.359	1.31	0.164
22:00:07	1.502	1.478	1.316	0.423	0.436	0.366	1.633	1.635	1.635	1.627	1.623	1.627	1.379	1.371	1.316	0.163
22:30:06	1.516	1.498	1.336	0.476	0.491	0.404	1.649	1.651	1.649	1.645	1.641	1.645	1.391	1.381	1.326	0.163
23:00:06	1.526	1.51	1.356	0.54	0.556	0.452	1.665	1.665	1.665	1.663	1.661	1.661	1.405	1.395	1.34	0.163
23:30:06	1.54	1.526	1.375	0.612	0.63	0.506	1.679	1.681	1.679	1.681	1.677	1.681	1.417	1.407	1.351	0.163
